Indicator Name,PSS Insight Indicator #,Data Type,Topic,Definition,Assessment Questions,Purpose and Issues,Preferred Data Sources,Method of Estimation,Proposed Scoring or Benchmarking,Expected Frequency of Data Dissemination,Indicator Reference Number(s),Indicator Source(s),URL
"Existence of a national essential medicines list published within the past five years","PS01","Categorical","Selection","""This indicator monitors existence of an up-to-date Essential Medicines List (EML), it is intended for use with or in place of indicator PS02.""
	""If there is no reimbursement list for the public sector in the country, indicator PS01 pertaining to the EML should be used. If the country has both an EML and a separate list for reimbursement of pharmaceutical products, use both PS01 and PS02.""","Is there a national list of essential medicines?
	What is the year of publication of the latest version of the national essential medicines list?","The purpose of this indicator is to verify that a document exists that can provide some measure of the relevance/prioritization of medicines available in country. The existence of an EML demonstrates priority setting to contain expenditure while optimizing health benefits. Essential medicines lists should be updated at least every five years.","""Published list, Formulary or selection committee""","Yes/No","""Countries should have an EML, with a publication or revision date within the past five years of the data of data collection.""","Annually","12","Health Systems 20/20. (2012). The Health System Assessment Approach: A How-To Manual. Version 2.0. Module 6. www.healthsystemassessment.org",""
"Existence of a reimbursement list published within the past two years","PS02","Categorical","Selection","This indicator monitors existence of an up-to-date reimbursement list for pharmaceutical products in the public sector.
	""It is intended for use with or in place of indicator PS01. If there is no reimbursement list for the public sector in the country, indicator PS01 pertaining to the EML should be used. If the country has both an EML and a separate list for reimbursement of pharmaceutical products, use both PS01 and PS02.""","What is the year of publication of the latest version of the national essential medicines list?
	Is there a national list of medicines for reimbursement? (Note: if the EML is used for this purpose please respond “Yes” and write EML in comments)
	What is the year of publication of the latest version of the reimbursement list? (Note: if the EML is used for this purpose please enter the year of publication of the EML)","The purpose of this indicator is to verify that a document exists that can provide some measure of the relevance/prioritization of medicines available in country. A reimbursement list demonstrates priority setting to contain expenditure while optimizing health benefits.
	""The existence of a reimbursement list depends on the maturity and history of a particular country’s health system. As countries move toward universal health coverage (UHC), ministries of health will need to be explicit in the medicines benefits packages offered under public insurance schemes. Over time, we expect more countries to publish a reimbursement list.""
	""A country’s target is to have a reimbursement list or multiple lists, depending on the number of insurance schemes in the country, updated a minimum of every two years.""
	""If a country has multiple insurance schemes, the reimbursement list of the insurance scheme that serves the largest number of poor people should be used for computing this indicator.""","""Published list, Formulary or selection committee""","Yes/No","""Each country should have 1 or more lists of pharmaceutical products for reimbursement under their public health insurance schemes. If the EML is used for this purpose, specify that the reimbursement list in use is the EML. Reimbursement lists should be updated at least every 2 years – the publication or revision date should be within 2 years of the date of data collection.""","","12","Health Systems 20/20. (2012). The Health System Assessment Approach: A How-To Manual. Version 2.0. Module 6. www.healthsystemassessment.org",""
"% of median international price paid for a set of tracer medicines that was part of the last regular MOH procurement","PS03","Continuous","Procurement","""This indicator tracks the potential overspending/savings on tracer medicines. Median international price is the median free on board (FOB) price from a set of international suppliers, adjusted to reflect estimated cost, insurance, and freight (CIF) prices. One source of price information is the MSH International Drug Price Indicator Guide. The last regular procurement price refers to the CIF price paid during the last regular MOH procurement.""","Does the country track the procurement prices of tracer medicines (as determined by the country)?
